"DICT_ID","DICT_NAME","DICT_TYPE","STATUS","CREATE_BY","CREATE_TIME","UPDATE_BY","UPDATE_TIME","REMARK"
"2","菜单状态","sys_show_hide","0","admin","20/1/1900 19:54:48","admin","23/4/2024 15:52:26","system模块-菜单状态列表"
"3","系统开关","sys_normal_disable","0","admin","20/1/1900 19:54:48","admin","23/4/2024 15:52:38","system模块-系统开关列表"
"4","任务状态","sys_job_status","0","admin","20/1/1900 19:54:48","admin","23/4/2024 16:03:56","job模块-任务状态列表"
"5","任务分组","sys_job_group","0","admin","20/1/1900 19:54:48","",,"任务分组列表"
"6","系统是否","sys_yes_no","0","admin","20/1/1900 19:54:48","",,"系统是否列表"
"7","通知类型","sys_notice_type","0","admin","20/1/1900 19:54:48","",,"通知类型列表"
"8","通知状态","sys_notice_status","0","admin","20/1/1900 19:54:48","",,"通知状态列表"
"9","操作类型","sys_oper_type","0","admin","20/1/1900 19:54:48","",,"操作类型列表"
"10","系统状态","sys_common_status","0","admin","20/1/1900 19:54:48","",,"登录状态列表"
"100","影像是否","cmp_yes_no","0","admin","20/1/1900 15:05:39","admin","20/1/1900 17:13:20","影像配置是否"
"101","存储类型","cmp_device_type","0","admin","20/1/1900 15:14:20","admin","20/1/1900 17:15:47","影像设备存储类型"
"102","影像参数配置","cmp_parameter_configuration","0","admin","20/1/1900 17:40:05","admin","20/1/1900 17:15:40","NULL"
"103","状态是否可用","status_yes_no","0","admin","20/1/1900 10:51:14","","20/1/1900 10:51:14","NULL"
"104","加密类型","cmp_cipher_mode","0","admin","20/1/1900 18:01:20","","20/1/1900 18:01:20","NULL"
"105","文件类型映射","file_type_mapping","0","admin","20/1/1900 16:51:03","","20/1/1900 16:51:03","NULL"
"106","流程分类","bpm_model_category","0","admin","20/1/1900 08:40:45","admin","20/1/1900 08:40:45","流程分类"
"107","流程的表单类型","bpm_model_form_type","0","admin","20/1/1900 23:50:45","admin","20/1/1900 23:50:45","流程的表单类型"
"109","流程实例的结果","bpm_process_instance_result","0","admin","20/1/1900 23:48:10","admin","20/1/1900 23:48:10","流程实例的结果"
"110","流程实例的状态","bpm_process_instance_status","0","admin","20/1/1900 23:46:42","admin","20/1/1900 23:46:42","流程实例的状态"
"111","任务分配规则的类型","bpm_task_assign_rule_type","0","admin","20/1/1900 23:21:04","admin","20/1/1900 15:46:10","任务分配规则的类型"
"112","任务分配自定义脚本","bpm_task_assign_script","0","admin","20/1/1900 00:10:35","admin","20/1/1900 00:10:35","任务分配自定义脚本"
"144","OCR统计类型","ocr_type","0","admin","20/1/1900 15:41:29","admin","23/4/2024 16:07:47","statistics模块"
"145","差错统计类型","error_type","0","admin","20/1/1900 10:03:40","admin","23/4/2024 16:06:47","statistics模块"
"146","档案类型","arc_type","0","admin","20/1/1900 15:03:26","admin","23/4/2024 16:08:47","statistics模块"
"147","档案盒状态","archive_box_status","0","admin","20/1/1900 11:54:54","admin","23/4/2024 16:10:39","storeroom模块"
"148","审核状态","file_apply_type","0","admin","20/1/1900 11:56:23","admin","20/1/1900 14:33:25","NULL"
"149","档案借阅任务状态","borrow_task_status","0","admin","20/1/1900 14:50:10","admin","2/4/2024 15:06:58","档案借阅任务状态"
"150","电子档案状态","physical_file_status","0","admin","20/1/1900 14:52:15","NULL",,"NULL"
"152","上架类型","put_type","0","admin","20/1/1900 17:16:16","NULL",,"NULL"
"153","移交审核状态","check_state","0","admin","20/1/1900 11:34:52","admin","20/1/1900 11:36:29","NULL"
